2015-07-04 15:07:42,390 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Restaurant_app:Restaurant_app:0.0.1-SNAPSHOT @ /Users/vikasboinpally/Desktop/VikasWorkspace/Projects/Restaurant_app/Restaurant_app/pom.xml.
2015-07-04 15:07:46,056 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-04 15:07:46,066 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vikasboinpally/Desktop/VikasWorkspace/Projects/Restaurant_app/Restaurant_app/src/main/resources
2015-07-04 15:07:46,069 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-04 15:07:46,070 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vikasboinpally/Desktop/VikasWorkspace/Projects/Restaurant_app/Restaurant_app/src/test/resources
2015-07-04 15:07:46,116 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Restaurant_app/src
2015-07-04 15:07:46,117 [Worker-28] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Restaurant_app/src/test/java because it overlaps with /Restaurant_app/src
2015-07-04 15:07:47,048 [Worker-28] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-07-04 15:07:47,629 [Worker-28] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Restaurant_app:Restaurant_app:0.0.1-SNAPSHOT @ /Users/vikasboinpally/Desktop/VikasWorkspace/Projects/Restaurant_app/Restaurant_app/pom.xml.
2015-07-04 15:07:48,817 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-07-04 15:07:48,830 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/vikasboinpally/Desktop/VikasWorkspace/Projects/Restaurant_app/Restaurant_app/src/main/resources
2015-07-04 15:07:48,833 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
