127.0.0.1 - - [07/Jul/2015:11:18:18 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/css/lib/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/lib/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/lib/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/lib/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/lib/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/controllers/cust.home.ctrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/controllers/cust.contact.ctrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/controllers/cust.adminLogin.ctrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/controllers/cust.changeReserve.ctrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/controllers/cust.makeReserve.ctrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/lib/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/controllers/admin.home.ctrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/controllers/admin.settings.ctrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:47 -0500] "GET /Restaurant_app/scripts/controllers/admin.updateReserve.ctrl.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:48 -0500] "GET /Restaurant_app/partials/cust.home.tmpl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:50 -0500] "GET /Restaurant_app/partials/cust.changeReserve.tmpl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:51 -0500] "GET /Restaurant_app/partials/cust.adminLogin.tmpl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:52 -0500] "GET /Restaurant_app/partials/admin.home.tmpl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:55 -0500] "GET /Restaurant_app/api/reservation/all HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:23:55 -0500] "GET /Restaurant_app/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:02 -0500] "GET /Restaurant_app/partials/admin.updateReserve.tmpl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:06 -0500] "POST /Restaurant_app/api/reservation/update/ HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:09 -0500] "GET /Restaurant_app/api/reservation/all HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:10 -0500] "GET /Restaurant_app/partials/admin.settings.tmpl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:14 -0500] "GET /Restaurant_app/api/reservation/all HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:16 -0500] "GET /Restaurant_app/partials/cust.contact.tmpl.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:18 -0500] "GET /Restaurant_app/partials/cust.makeReserve.tmpl.html HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:22 -0500] "GET /Restaurant_app/api/reservation/all HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [07/Jul/2015:11:24:32 -0500] "GET /Restaurant_app/api/reservation/get/1002 HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [07/Jul/2015:12:08:23 -0500] "GET /Restaurant_app/api/reservation/all HTTP/1.1" 200 1135
